term_localName,label,definition (normative),usage (normative),notes (including examples; non-normative),type
g000,unspecified organism group,placeholder collection for undefined groups,,,http://www.w3.org/2004/02/skos/core#Collection
g001,woody angiosperms,collection of concepts that apply to woody angiosperms,,,http://www.w3.org/2004/02/skos/core#Collection
g002,herbaceous angiosperms,collection of concepts that apply to herbaceous angiosperms,,,http://www.w3.org/2004/02/skos/core#Collection
g003,gymnosperms,collection of concepts that apply to gymnosperms,,,http://www.w3.org/2004/02/skos/core#Collection
g007,fish,collection of concepts that apply to fish,,,http://www.w3.org/2004/02/skos/core#Collection
g009,mammals,collection of concepts that apply to mammals,,,http://www.w3.org/2004/02/skos/core#Collection
g010,birds,collection of concepts that apply to birds,,,http://www.w3.org/2004/02/skos/core#Collection
g011,reptiles/amphibians,collection of concepts that apply to reptiles and amphibians,,,http://www.w3.org/2004/02/skos/core#Collection
g012,insects,collection of concepts that apply to insects,,,http://www.w3.org/2004/02/skos/core#Collection
p0000,unspecified morphological feature,placeholder collection for undefined morphological features,,,http://www.w3.org/2004/02/skos/core#Collection
p0001,entire organism,collection of concepts appropriate for entire organism,,,http://www.w3.org/2004/02/skos/core#Collection
p0002,bark,collection of concepts appropriate for bark,,,http://www.w3.org/2004/02/skos/core#Collection
p0003,twig,collection of concepts appropriate for twig,,,http://www.w3.org/2004/02/skos/core#Collection
p0004,stem,collection of concepts appropriate for stem,,,http://www.w3.org/2004/02/skos/core#Collection
p0005,leaf,collection of concepts appropriate for leaf,,,http://www.w3.org/2004/02/skos/core#Collection
p0006,strobilis (cone),collection of concepts appropriate for strobilis (cone),,,http://www.w3.org/2004/02/skos/core#Collection
p0007,inflorescence,collection of concepts appropriate for inflorescence,,,http://www.w3.org/2004/02/skos/core#Collection
p0008,fruit,collection of concepts appropriate for fruit,,,http://www.w3.org/2004/02/skos/core#Collection
p0009,seed,collection of concepts appropriate for seed,,,http://www.w3.org/2004/02/skos/core#Collection
p0010,male cone,collection of concepts appropriate for male cone,,,http://www.w3.org/2004/02/skos/core#Collection
p0011,female cone,collection of concepts appropriate for female cone,,,http://www.w3.org/2004/02/skos/core#Collection
p0012,flower,collection of concepts appropriate for flower,,,http://www.w3.org/2004/02/skos/core#Collection
p0013,head,collection of concepts appropriate for head,,,http://www.w3.org/2004/02/skos/core#Collection
p0014,thorax,collection of concepts appropriate for thorax,,,http://www.w3.org/2004/02/skos/core#Collection
p0015,abdomen,collection of concepts appropriate for abdomen,,,http://www.w3.org/2004/02/skos/core#Collection
p0016,leg,collection of concepts appropriate for leg,,,http://www.w3.org/2004/02/skos/core#Collection
p0017,wing,collection of concepts appropriate for wing,,,http://www.w3.org/2004/02/skos/core#Collection
p0018,antenna,collection of concepts appropriate for antenna,,,http://www.w3.org/2004/02/skos/core#Collection
p0019,forewing,collection of concepts appropriate for forewing,,,http://www.w3.org/2004/02/skos/core#Collection
p0020,hindwing,collection of concepts appropriate for hindwing,,,http://www.w3.org/2004/02/skos/core#Collection
p0021,foreleg,collection of concepts appropriate for foreleg,,,http://www.w3.org/2004/02/skos/core#Collection
p0022,midleg,collection of concepts appropriate for midleg,,,http://www.w3.org/2004/02/skos/core#Collection
p0023,hindleg,collection of concepts appropriate for hindleg,,,http://www.w3.org/2004/02/skos/core#Collection
p0024,eye,collection of concepts appropriate for eye,,,http://www.w3.org/2004/02/skos/core#Collection
p0025,shell,collection of concepts appropriate for shell,,,http://www.w3.org/2004/02/skos/core#Collection
p0026,genitalia,collection of concepts appropriate for genitalia,,,http://www.w3.org/2004/02/skos/core#Collection
p0027,skull,collection of concepts appropriate for skull,,,http://www.w3.org/2004/02/skos/core#Collection
p0028,cranium,collection of concepts appropriate for cranium,,,http://www.w3.org/2004/02/skos/core#Collection
p0029,mandible,collection of concepts appropriate for mandible,,,http://www.w3.org/2004/02/skos/core#Collection
p0030,fin,collection of concepts appropriate for fin,,,http://www.w3.org/2004/02/skos/core#Collection
p0031,egg,collection of concepts appropriate for egg,,,http://www.w3.org/2004/02/skos/core#Collection
